,Mes,Región,Temperatura
367,Ago,Yucatán,29.2
368,Sep,Yucatán,28.9
369,Oct,Yucatán,28.1
370,Nov,Yucatán,25.1
371,Dic,Yucatán,23.6
372,Ene,Zacatecas,13.1
373,Feb,Zacatecas,16.0
374,Mar,Zacatecas,18.0
375,Abr,Zacatecas,18.5
376,May,Zacatecas,21.1
377,Jun,Zacatecas,22.6
378,Jul,Zacatecas,20.9
379,Ago,Zacatecas,21.3
380,Sep,Zacatecas,19.9
381,Oct,Zacatecas,18.9
382,Nov,Zacatecas,16.5
383,Dic,Zacatecas,13.2
